file,country,region,city,name,alternate_names
"250px-Statue_of_Unity.jpg",India,Gujarat,Kevadia,Statue of Unity,
"330px-Aerial_view_of_National_World_War_II_Memorial.jpg",United States,Washigton D.C.,Washington D.C.,World War II Memorial,
"330px-Teotihuacán-5973.jpg",Mexico,State of Mexico,Mexico City,Teotihuacan,Teotihuacán
"330px-Topkapı_-_01.jpg",Turkey,Fatih district,Istanbul,Topkapı Palace,Seraglio;Topkapi Palace
"330px-Казанский_кремль._Панорама_с_колеса_обозрения.jpg",Russia,,Kazan,Kazan Kremlin,Казанский кремль;Kazanskiy kreml;Казан кирмәне;Qazan kirmäne
"330px-Царское_Село._Екатерининский_дворец_1.jpg",Russia,Saint Petesburg,Pushkin,Tsarskoye Selo,Ца́рское Село́;Tsar's Village
"800px-Tour_Eiffel_Wikimedia_Commons_(cropped).jpg",France,,Paris,Eiffel Tower,Tour Eiffel
"Arc_de_Triomphe,_Paris_21_October_2010.jpg",France,,Paris,Arc de Triomphe,Place Charles de Gaulle;Place de l'Étoile
"Brama_Arbeit_Macht_frei.jpg",Poland,,Oświęcim,Auschwitz-Birkenau State Museum,Auschwitz;Państwowe Muzeum Auschwitz-Birkenau;Birkenau
"Castillo_San_Felipe_Del_Morro_(16869927311).jpg",Puerto Rico,Old San Juan,San Juan,Castillo San Felipe del Morro,Promontory Castle of Saint Philip;San Juan National Historic Site
"Chapultepec_Castle_Mexico_City.webp.png",Mexico,Chapultepec Hill,Mexico City,Chapultepec Castle,Castillo de Chapultepec;chapoltepēc;Chapultepec park
"Chichen_Itza_3.jpg",Mexico,Yucatán,Tinúm,Chichen Itza,Chichén Itzá
"Colosseo_2020.jpg",Italy,Roman Forum,Rome,Colosseum,Colosseo
"Dawn_Charles_V_Palace_Alhambra_Granada_Andalusia_Spain.jpg",Spain,Granada,Granada,Alhambra,
"Dolmabahce_Istanbul_Turkey.jpg",Turkey,Bosporus,Istanbul,Dolmabahçe Palace,Dolmabahçe Sarayı;Dolmabahce Palace
"Edinburgh_Castle_-_aerial_-_2025-04-19_03.jpg",United Kingdom,Scotland,Edinburgh,Edinburgh Castle,Caisteal Dhùn Èideann
"Forbidden_City_Beijing_Shenwumen_Gate.JPG",China,Imperial City,Beijing,Forbidden City,Zǐjìnchéng;Gugong
"Garden_facade_of_the_Wilanów_Palace,_2019,_02.jpg",Poland,Wilanów,Warsaw,Wilanów Palace,Pałac w Wilanowie
"Hagia_Sophia_(228968325).jpeg",Turkey,,Istanbul,Hagia Sophia,Hagia Sophia Grand Mosque
"Hemispheric_Twilight_-_Valencia,_Spain_-_Jan_2007.jpg",Spain,,Valencia,City of Arts and Sciences,Ciutat de les Arts i les Ciències;Ciudad de las Artes y las Ciencias;L'Hemisfèric;Hemispheric
"Kölner_Dom_-_Westfassade_2022_ohne_Gerüst-0968_b.jpg",Germany,North rhine-westphalia,Cologne,Cologne Cathedral,Kölner Dom;Hohe Domkirche zu Köln;High Cathedral Church at Cologne
"Liberty_and_Ellis_Island.jpg",United States,New York Harbor,New York,Statue of Liberty National Monument,Statue of Liberty;Liberty Island;Ellis Island
"Liberty_Bell,_2016.jpg",United States,Philadelphia,Pennsylvania,Independence National Historical Park,Liberty Bell;Independence Hall
